date,is_holiday,day_type
2025-09-01,True,праздник
2025-09-02,False,учебный
2025-09-03,False,учебный
2025-09-04,False,учебный
2025-09-05,False,учебный
2025-09-06,False,учебный
2025-09-07,True,выходной
2025-09-08,False,учебный
2025-09-09,False,учебный
2025-09-10,False,учебный
2025-09-11,False,учебный
2025-09-12,False,учебный
2025-09-13,False,учебный
2025-09-14,True,выходной
2025-09-15,False,учебный
2025-09-16,False,учебный
2025-09-17,False,учебный
2025-09-18,False,учебный
2025-09-19,False,учебный
2025-09-20,False,учебный
2025-09-21,True,выходной
2025-09-22,False,учебный
2025-09-23,False,учебный
2025-09-24,False,учебный
2025-09-25,False,учебный
2025-09-26,False,учебный
2025-09-27,False,учебный
2025-09-28,True,выходной
2025-09-29,False,учебный
2025-09-30,False,учебный
2025-10-01,False,учебный
2025-10-02,False,учебный
2025-10-03,False,учебный
2025-10-04,False,учебный
2025-10-05,True,выходной
2025-10-06,False,учебный
2025-10-07,False,учебный
2025-10-08,False,учебный
2025-10-09,False,учебный
2025-10-10,False,учебный
2025-10-11,False,учебный
2025-10-12,True,выходной
2025-10-13,False,учебный
2025-10-14,False,учебный
2025-10-15,False,учебный
2025-10-16,False,учебный
2025-10-17,False,учебный
2025-10-18,False,учебный
2025-10-19,True,выходной
2025-10-20,False,учебный
2025-10-21,False,учебный
2025-10-22,False,учебный
2025-10-23,False,учебный
2025-10-24,False,учебный
2025-10-25,False,учебный
2025-10-26,True,выходной
2025-10-27,False,учебный
2025-10-28,False,учебный
2025-10-29,False,учебный
2025-10-30,False,учебный
2025-10-31,False,учебный
2025-11-01,False,учебный
2025-11-02,True,выходной
2025-11-03,False,учебный
2025-11-04,True,праздник
2025-11-05,False,учебный
2025-11-06,False,учебный
2025-11-07,False,учебный
2025-11-08,False,учебный
2025-11-09,True,выходной
2025-11-10,False,учебный
2025-11-11,False,учебный
2025-11-12,False,учебный
2025-11-13,False,учебный
2025-11-14,False,учебный
2025-11-15,False,учебный
2025-11-16,True,выходной
2025-11-17,False,учебный
2025-11-18,False,учебный
2025-11-19,False,учебный
2025-11-20,False,учебный
2025-11-21,False,учебный
2025-11-22,False,учебный
2025-11-23,True,выходной
2025-11-24,False,учебный
2025-11-25,False,учебный
2025-11-26,False,учебный
2025-11-27,False,учебный
2025-11-28,False,учебный
2025-11-29,False,учебный
2025-11-30,True,выходной
2025-12-01,False,учебный
2025-12-02,False,учебный
2025-12-03,False,учебный
2025-12-04,False,учебный
2025-12-05,False,учебный
2025-12-06,False,учебный
2025-12-07,True,выходной
2025-12-08,False,учебный
2025-12-09,False,учебный
2025-12-10,False,учебный
2025-12-11,False,учебный
2025-12-12,False,учебный
2025-12-13,False,учебный
2025-12-14,True,выходной
2025-12-15,False,учебный
2025-12-16,False,учебный
2025-12-17,False,учебный
2025-12-18,False,учебный
2025-12-19,False,учебный
2025-12-20,False,учебный
2025-12-21,True,выходной
2025-12-22,False,учебный
2025-12-23,False,учебный
2025-12-24,False,учебный
2025-12-25,False,учебный
2025-12-26,False,учебный
2025-12-27,False,учебный
2025-12-28,True,выходной
2025-12-29,False,учебный
2025-12-30,False,учебный
2025-12-31,False,учебный
